name,status,error
alexnet,PASS,
basic_gnn_edgecnn,PASS,
basic_gnn_gin,PASS,
basic_gnn_sage,PASS,
BERT_pytorch,PASS,
Dcgan,PASS,
demucs,PASS,
densenet121,PASS,
functorch_dp_cifar10,PASS,
functorch_maml_omniglot,PASS,
hf_Albert,PASS,
hf_Bart,PASS,
hf_Bert_large,PASS,
hf_Bert,PASS,
hf_BigBird,PASS,
hf_DistilBert,PASS,
hf_distil_whisper,PASS,
hf_Roberta_base,PASS,
hf_T5_base,PASS,
hf_T5_large,PASS,
hf_T5,PASS,
hf_Whisper,PASS,
LearningToPaint,PASS,
maml_omniglot,PASS,
mnasnet1_0,PASS,
mobilenet_v2,PASS,
mobilenet_v3_large,PASS,
nanogpt,PASS,
nvidia_deeprecommender,PASS,
phlippe_densenet,PASS,
phlippe_resnet,PASS,
pytorch_stargan,PASS,
resnet152,PASS,
resnet18,PASS,
resnet50,PASS,
resnext50_32x4d,PASS,
shufflenet_v2_x1_0,PASS,
squeezenet1_1,PASS,
timm_efficientnet,PASS,
timm_nfnet,PASS,
timm_regnet,PASS,
timm_resnest,PASS,
timm_vision_transformer_large,PASS,
timm_vision_transformer,PASS,
timm_vovnet,PASS,
vgg16,PASS,
doctr_det_predictor,PASS,
doctr_reco_predictor,PASS,
hf_GPT2,PASS,
hf_GPT2_large,PASS,
llava,PASS,
moondream,PASS,
sage,PASS,
