M,K,N,Bias
152710,512,2048,2048
64896,512,2048,2048
6,1536,384,
6,768,3072,
6144,384,384,
462,384,768,
462,384,4096,
462,384,1472,
6144,3072,384,
6144,384,1536,
6,1536,3072,
1536,768,768,
462,768,768,
462,768,4096,
462,768,1472,
1536,6144,768,
1536,768,3072,
6,3072,3072,
384,1536,1536,
462,1536,768,
462,1536,4096,
462,1536,1472,
384,12288,1536,
384,1536,6144,
96,1536,1536,
96,12288,1536,
96,1536,6144,
256,256,256,
384,384,384,
512,512,512,
640,640,640,
768,768,768,
896,896,896,
1024,1024,1024,
1152,1152,1152,
1280,1280,1280,
1408,1408,1408,
1536,1536,1536,
1664,1664,1664,
1792,1792,1792,
1920,1920,1920,
2048,2048,2048,
2176,2176,2176,
2304,2304,2304,
2432,2432,2432,
2560,2560,2560,
2688,2688,2688,
2816,2816,2816,
2944,2944,2944,
3072,3072,3072,
3200,3200,3200,
3328,3328,3328,
3456,3456,3456,
3584,3584,3584,
3712,3712,3712,
3840,3840,3840,
3968,3968,3968,
4096,4096,4096,
